x,y
20.82,22.58
29.98,29.6
30.63,30.63
32.84,32.87
27.71,30.37
19.34,20.0
75.11,77.99
32.08,30.84
29.69,31.16
33.39,31.74
67.28,73.8
71.54,74.52
33.27,30.0
72.24,77.8
21.32,21.55
70.29,73.22
70.73,70.78
19.28,18.44
20.41,22.09
19.98,18.89
74.72,74.16
28.95,31.99
75.61,78.32
18.92,21.11
18.93,19.68
19.29,23.74
34.69,30.71
30.47,29.93
30.88,29.67
75.66,73.8
72.84,76.62
71.42,74.65
32.49,33.3
71.95,74.21
28.02,30.2
76.21,79.38
21.08,19.8
27.5,31.36
29.97,28.87
18.26,23.04
35.86,27.11
69.21,74.53
21.48,23.37
33.07,29.15
77.23,73.18
22.82,21.55
68.48,77.18
19.26,23.02
18.88,20.97
21.14,22.06
20.57,22.07
23.17,24.31
72.29,73.66
74.9,73.44
18.92,20.5
72.37,75.51
65.49,78.38
21.2,22.38
28.95,30.45
19.25,23.28
21.59,17.99
66.23,78.46
72.82,79.29
74.05,70.36
20.59,23.79
72.92,78.54
71.76,72.74
20.8,20.7
71.95,72.05
22.09,20.68
21.03,20.49
33.59,29.4
21.24,21.69
31.45,29.36
32.58,28.36
72.0,73.26
29.43,32.32
18.23,25.06
19.34,22.5
33.87,30.93
21.12,20.84
28.88,28.97
18.72,17.87
21.62,23.8
75.55,73.18
19.1,20.11
19.14,22.13
71.41,73.0
21.31,22.01
34.03,30.47
30.26,30.44
69.49,76.62
21.11,22.25
29.25,32.03
36.79,28.66
20.14,25.24
31.0,26.94
70.02,76.27
17.98,22.36
31.56,29.7
33.57,30.62
35.01,32.86
21.96,23.6
72.07,72.64
69.38,73.9
19.43,21.99
67.14,75.09
20.16,22.57
30.78,28.66
20.22,21.2
21.56,22.46
21.45,19.79
70.54,77.97
17.36,19.18
32.48,31.6
23.67,23.56
78.86,76.19
29.89,28.23
69.73,80.5
77.11,74.27
72.99,78.75
19.64,20.22
21.88,24.46
20.0,21.29
32.19,29.23
66.4,77.96
18.16,25.6
32.03,34.49
24.46,20.44
66.09,74.43
34.79,28.99
17.13,22.9
29.03,31.02
73.93,79.87
71.99,74.59
74.96,74.45
35.63,31.59
71.05,73.52
30.65,28.48
22.59,19.41
31.78,30.92
33.68,30.08
73.57,71.46
32.09,27.8
76.76,74.73
70.72,71.95
18.96,25.09
21.34,24.05
67.33,76.17
22.81,23.07
34.44,30.16
71.26,76.18
19.76,25.46
32.87,27.21
36.15,27.82
30.74,29.39
33.03,31.82
32.29,28.74
69.31,74.5
18.23,19.38
32.8,30.1
72.65,72.12
19.66,24.17
15.36,21.77
73.47,78.15
32.15,33.35
19.97,21.87
72.83,71.02
22.33,22.02
17.54,23.74
18.73,23.9
19.8,21.58
34.65,31.09
35.07,33.16
69.57,78.19
32.27,30.63
19.58,20.06
30.87,30.21
17.83,21.74
21.05,18.16
34.1,27.83
32.33,29.41
29.4,29.57
31.67,29.69
31.49,31.86
34.69,30.42
75.54,74.46
17.35,22.19
22.65,21.39
75.29,74.01
30.98,29.43
32.93,29.96
69.13,71.91
19.01,23.32
31.21,30.46
17.38,22.39
18.07,21.5
74.58,79.61
30.19,30.65
16.44,22.75
34.47,29.02
32.25,31.3
18.29,22.79
32.89,27.75
20.36,20.34
71.72,71.96
32.63,26.53
31.98,29.34
71.05,77.65
22.0,22.1
35.67,31.63
20.49,21.69
17.59,18.72
33.92,30.09
35.08,32.05
31.13,27.36
36.06,29.99
17.2,22.9
70.35,75.45
73.11,79.74
71.91,75.89
21.47,17.53
18.23,21.08
30.96,29.84
19.44,21.38
35.84,30.37
71.45,72.0
75.66,75.36
30.51,28.25
68.39,69.23
29.96,30.35
31.34,28.02
22.08,22.3
31.43,31.04
19.35,20.82
33.86,29.6
32.32,29.31
31.08,28.37
24.46,21.9
74.06,77.19
23.63,19.3
29.31,28.65
67.56,70.33
33.31,31.63
76.43,78.57
74.77,75.79
75.26,73.91
21.88,19.21
27.88,30.75
30.36,30.28
18.84,22.44
32.03,30.12
21.68,20.37
72.89,70.1
31.97,31.63
69.71,70.67
19.62,20.02
70.39,69.67
20.5,20.27
32.37,33.37
30.37,28.22
36.22,28.01
30.53,26.96
19.76,25.61
19.21,22.47
27.88,30.25
31.08,29.41
69.16,78.48
31.33,27.7
33.02,30.31
72.14,75.23
22.97,19.81
19.33,25.29
76.53,77.36
71.67,75.65
22.44,20.2
33.14,26.83
16.04,22.58
21.25,22.92
21.05,22.95
71.26,73.33
20.48,23.19
69.73,74.47
71.72,79.47
73.45,78.5
70.7,71.92
76.23,73.37
68.18,76.46
71.54,76.65
31.86,29.2
74.45,72.36
21.13,21.88
18.53,22.2
77.39,75.75
72.57,75.69
20.98,19.71
29.46,27.55
73.49,69.41
33.05,27.96
17.51,23.49
19.32,19.57
74.74,77.27
17.49,23.68
18.53,21.24
33.36,25.75
71.31,78.1
73.68,70.42
32.09,30.57
18.81,25.01
69.98,76.62
19.68,21.47
19.09,22.16
17.65,22.02
31.12,34.0
20.98,22.97
28.66,27.98
75.96,71.41
33.15,31.18
32.39,29.58
31.81,29.54
69.23,80.03
35.31,29.8
30.72,26.97
70.13,73.12
22.51,22.73
21.47,18.4
18.64,22.74
33.74,32.35
32.46,28.46
68.49,76.52
31.39,27.83
18.15,20.86
70.95,79.78
33.02,29.73
72.67,78.14
30.66,31.77
32.77,30.34
20.31,26.94
72.97,72.96
33.82,30.34
18.27,23.79
71.2,73.12
73.64,75.03
31.2,29.06
18.27,22.06
23.41,20.22
70.14,72.03
21.35,19.35
31.76,28.26
73.01,80.57
21.84,20.17
71.17,78.65
72.17,76.5
78.06,78.25
19.71,21.88
33.49,30.39
75.52,73.77
19.9,20.19
33.71,30.81
27.18,30.89
19.24,21.89
74.17,73.41
72.91,75.84
73.06,74.53
78.53,76.76
18.54,23.02
71.15,70.54
21.9,20.77
18.73,20.52
32.14,25.63
68.59,72.59
22.5,21.18
31.36,28.15
34.33,29.54
19.38,20.01
29.67,31.46
33.83,28.84
71.79,74.12
72.77,76.86
31.26,30.56
71.77,79.08
29.15,28.91
72.76,77.4
21.54,22.85
74.41,73.95
67.49,77.23
33.89,30.61
75.3,74.56
31.16,29.04
19.56,18.21
71.54,75.13
16.93,25.75
18.38,20.88
30.25,31.13
20.81,23.06
30.27,28.57
17.84,21.0
30.79,32.64
19.99,24.7
72.78,75.3
34.15,32.13
72.72,72.96
73.27,75.29
69.47,74.12
71.81,73.31
34.71,30.56
69.72,80.36
67.2,74.04
21.53,21.12
20.72,19.94
32.82,29.0
32.33,27.2
71.07,73.64
18.19,19.95
72.41,74.25
20.14,17.85
20.2,17.91
17.97,21.86
32.51,28.08
33.92,28.62
30.68,32.08
22.11,20.36
20.94,24.41
21.06,21.4
32.62,27.91
33.4,31.19
71.57,78.47
17.48,23.1
74.06,75.6
72.4,72.55
20.77,22.34
76.16,77.97
32.45,28.35
20.53,24.84
33.07,31.77
70.82,76.46
33.13,29.24
32.95,29.61
31.19,29.15
21.01,20.89
71.37,74.08
71.92,77.75
31.53,30.41
73.04,70.59
33.71,28.71
32.69,28.14
67.81,73.04
67.96,80.32
31.39,27.07
30.24,29.44
69.89,74.0
19.44,23.27
19.51,23.94
74.59,79.81
21.99,20.71
31.47,32.02
19.68,21.9
18.19,23.74
18.25,20.5
19.85,25.5
31.89,29.8
29.36,29.4
73.02,69.92
72.22,78.62
75.08,72.78
34.66,27.76
18.41,21.5
23.54,19.23
31.35,29.31
32.49,28.08
36.48,31.29
17.78,20.1
72.13,74.99
31.67,30.92
18.14,19.92
17.44,22.21
20.37,21.16
77.22,76.6
71.33,70.66
70.21,77.7
70.33,71.41
32.66,29.78
70.17,73.63
34.14,30.42
70.88,75.44
69.34,70.84
22.34,20.36
32.49,26.78
29.49,28.74
19.55,20.46
32.43,27.88
76.86,79.91
71.0,73.05
73.18,71.09
18.54,22.52
18.64,20.61
20.7,24.57
71.39,75.02
31.4,32.35
19.58,21.6
