x,y,cluster
20.82,22.58,A
29.98,29.6,B
30.63,30.63,B
32.84,32.87,B
27.71,30.37,B
19.34,20.0,A
75.11,77.99,C
32.08,30.84,B
29.69,31.16,B
33.39,31.74,B
67.28,73.8,C
71.54,74.52,C
33.27,30.0,B
72.24,77.8,C
21.32,21.55,A
70.29,73.22,C
70.73,70.78,C
19.28,18.44,A
20.41,22.09,A
19.98,18.89,A
74.72,74.16,C
28.95,31.99,B
75.61,78.32,C
18.92,21.11,A
18.93,19.68,A
19.29,23.74,A
34.69,30.71,B
30.47,29.93,B
30.88,29.67,B
75.66,73.8,C
72.84,76.62,C
71.42,74.65,C
32.49,33.3,B
71.95,74.21,C
28.02,30.2,B
76.21,79.38,C
21.08,19.8,A
27.5,31.36,B
29.97,28.87,B
18.26,23.04,A
35.86,27.11,B
69.21,74.53,C
21.48,23.37,A
33.07,29.15,B
77.23,73.18,C
22.82,21.55,A
68.48,77.18,C
19.26,23.02,A
18.88,20.97,A
21.14,22.06,A
20.57,22.07,A
23.17,24.31,A
72.29,73.66,C
74.9,73.44,C
18.92,20.5,A
72.37,75.51,C
65.49,78.38,C
21.2,22.38,A
28.95,30.45,B
19.25,23.28,A
21.59,17.99,A
66.23,78.46,C
72.82,79.29,C
74.05,70.36,C
20.59,23.79,A
72.92,78.54,C
71.76,72.74,C
20.8,20.7,A
71.95,72.05,C
22.09,20.68,A
21.03,20.49,A
33.59,29.4,B
21.24,21.69,A
31.45,29.36,B
32.58,28.36,B
72.0,73.26,C
29.43,32.32,B
18.23,25.06,A
19.34,22.5,A
33.87,30.93,B
21.12,20.84,A
28.88,28.97,B
18.72,17.87,A
21.62,23.8,A
75.55,73.18,C
19.1,20.11,A
19.14,22.13,A
71.41,73.0,C
21.31,22.01,A
34.03,30.47,B
30.26,30.44,B
69.49,76.62,C
21.11,22.25,A
29.25,32.03,B
36.79,28.66,B
20.14,25.24,A
31.0,26.94,B
70.02,76.27,C
17.98,22.36,A
31.56,29.7,B
33.57,30.62,B
35.01,32.86,B
21.96,23.6,A
72.07,72.64,C
69.38,73.9,C
19.43,21.99,A
67.14,75.09,C
20.16,22.57,A
30.78,28.66,B
20.22,21.2,A
21.56,22.46,A
21.45,19.79,A
70.54,77.97,C
17.36,19.18,A
32.48,31.6,B
23.67,23.56,A
78.86,76.19,C
29.89,28.23,B
69.73,80.5,C
77.11,74.27,C
72.99,78.75,C
19.64,20.22,A
21.88,24.46,A
20.0,21.29,A
32.19,29.23,B
66.4,77.96,C
18.16,25.6,A
32.03,34.49,B
24.46,20.44,A
66.09,74.43,C
34.79,28.99,B
17.13,22.9,A
29.03,31.02,B
73.93,79.87,C
71.99,74.59,C
74.96,74.45,C
35.63,31.59,B
71.05,73.52,C
30.65,28.48,B
22.59,19.41,A
31.78,30.92,B
33.68,30.08,B
73.57,71.46,C
32.09,27.8,B
76.76,74.73,C
70.72,71.95,C
18.96,25.09,A
21.34,24.05,A
67.33,76.17,C
22.81,23.07,A
34.44,30.16,B
71.26,76.18,C
19.76,25.46,A
32.87,27.21,B
36.15,27.82,B
30.74,29.39,B
33.03,31.82,B
32.29,28.74,B
69.31,74.5,C
18.23,19.38,A
32.8,30.1,B
72.65,72.12,C
19.66,24.17,A
15.36,21.77,A
73.47,78.15,C
32.15,33.35,B
19.97,21.87,A
72.83,71.02,C
22.33,22.02,A
17.54,23.74,A
18.73,23.9,A
19.8,21.58,A
34.65,31.09,B
35.07,33.16,B
69.57,78.19,C
32.27,30.63,B
19.58,20.06,A
30.87,30.21,B
17.83,21.74,A
21.05,18.16,A
34.1,27.83,B
32.33,29.41,B
29.4,29.57,B
31.67,29.69,B
31.49,31.86,B
34.69,30.42,B
75.54,74.46,C
17.35,22.19,A
22.65,21.39,A
75.29,74.01,C
30.98,29.43,B
32.93,29.96,B
69.13,71.91,C
19.01,23.32,A
31.21,30.46,B
17.38,22.39,A
18.07,21.5,A
74.58,79.61,C
30.19,30.65,B
16.44,22.75,A
34.47,29.02,B
32.25,31.3,B
18.29,22.79,A
32.89,27.75,B
20.36,20.34,A
71.72,71.96,C
32.63,26.53,B
31.98,29.34,B
71.05,77.65,C
22.0,22.1,A
35.67,31.63,B
20.49,21.69,A
17.59,18.72,A
33.92,30.09,B
35.08,32.05,B
31.13,27.36,B
36.06,29.99,B
17.2,22.9,A
70.35,75.45,C
73.11,79.74,C
71.91,75.89,C
21.47,17.53,A
18.23,21.08,A
30.96,29.84,B
19.44,21.38,A
35.84,30.37,B
71.45,72.0,C
75.66,75.36,C
30.51,28.25,B
68.39,69.23,C
29.96,30.35,B
31.34,28.02,B
22.08,22.3,A
31.43,31.04,B
19.35,20.82,A
33.86,29.6,B
32.32,29.31,B
31.08,28.37,B
24.46,21.9,A
74.06,77.19,C
23.63,19.3,A
29.31,28.65,B
67.56,70.33,C
33.31,31.63,B
76.43,78.57,C
74.77,75.79,C
75.26,73.91,C
21.88,19.21,A
27.88,30.75,B
30.36,30.28,B
18.84,22.44,A
32.03,30.12,B
21.68,20.37,A
72.89,70.1,C
31.97,31.63,B
69.71,70.67,C
19.62,20.02,A
