width,height,species
2.2,2.24,A
5.86,5.11,B
2.76,2.5,A
4.79,4.71,B
4.99,5.24,B
5.45,5.28,B
2.28,3.13,A
4.73,5.45,B
5.65,5.3,B
5.16,5.96,B
4.87,5.1,B
5.45,5.73,B
5.07,4.53,B
2.41,2.3,A
2.88,2.78,A
2.1,2.58,A
2.23,2.9,A
2.86,3.23,A
2.72,2.06,A
2.22,2.03,A
2.81,2.21,A
5.27,5.09,B
2.54,2.76,A
5.64,5.32,B
2.37,2.91,A
3.22,1.96,A
3.02,2.67,A
5.73,5.53,B
5.44,5.55,B
4.73,4.71,B
5.07,5.51,B
4.88,5.22,B
5.44,4.52,B
5.64,5.96,B
5.7,5.33,B
2.13,2.87,A
2.66,2.75,A
5.01,5.42,B
5.38,5.21,B
5.25,5.55,B
2.45,2.02,A
5.34,5.18,B
3.04,2.33,A
3.11,3.13,A
2.29,1.98,A
2.21,2.4,A
2.37,3.03,A
2.0,2.39,A
2.81,2.2,A
2.64,2.66,A
5.47,4.78,B
5.45,4.34,B
2.55,2.64,A
2.59,1.99,A
2.32,2.52,A
5.5,5.18,B
2.52,2.03,A
2.64,2.75,A
2.64,2.25,A
5.23,4.96,B
2.25,2.33,A
2.42,2.25,A
5.87,5.33,B
5.55,5.26,B
4.89,5.2,B
5.72,5.51,B
2.44,2.35,A
5.29,5.13,B
2.0,2.63,A
5.79,5.11,B
2.92,1.62,A
2.59,3.3,A
3.03,1.94,A
5.26,5.07,B
4.98,5.11,B
5.77,5.67,B
2.45,2.52,A
5.43,5.19,B
5.33,5.67,B
5.4,5.71,B
2.54,1.97,A
2.45,3.02,A
5.41,4.88,B
3.08,2.56,A
3.1,3.18,A
5.0,5.28,B
4.4,4.83,B
1.57,3.2,A
4.35,5.44,B
5.62,5.73,B
5.76,5.86,B
2.24,2.73,A
3.05,2.77,A
5.83,5.22,B
1.99,2.24,A
4.54,4.79,B
5.59,4.71,B
5.58,6.03,B
3.28,2.27,A
2.61,2.6,A
