width,height,species
4.29,5.04,B
4.44,5.39,B
5.64,2.72,A
5.08,4.75,B
4.55,2.16,B
3.54,4.48,A
3.34,3.22,A
4.24,3.76,B
5.2,4.49,B
4.61,5.2,B
4.55,5.47,B
3.9,4.22,A
3.81,3.54,B
4.49,3.65,B
5.38,4.07,B
3.46,2.33,A
2.8,3.97,A
3.71,4.75,A
3.84,5.17,B
3.83,3.85,A
4.1,4.46,A
5.16,4.76,B
4.98,4.75,B
4.43,4.03,B
3.57,4.03,A
4.4,4.41,A
5.06,4.64,B
3.42,2.47,A
3.83,3.68,A
3.95,4.2,A
5.02,4.79,B
3.56,3.64,B
5.7,4.25,B
4.22,3.14,B
4.61,3.2,B
2.7,4.59,A
4.33,2.52,A
4.5,4.6,B
4.71,4.48,A
4.38,4.6,A
4.31,3.9,B
5.2,3.79,B
5.13,3.54,B
4.34,3.38,A
4.85,7.18,B
3.19,4.03,A
3.89,1.77,A
5.91,5.7,B
3.64,3.49,A
4.85,5.09,B
2.95,3.57,A
4.94,6.06,B
1.36,4.03,A
4.61,4.59,A
6.18,2.68,B
4.6,4.1,A
3.55,3.53,A
3.74,4.68,B
2.63,3.35,A
6.89,3.1,B
5.71,4.5,A
3.96,6.38,B
5.97,4.53,B
3.74,3.71,A
3.34,3.83,A
3.59,4.75,B
4.13,2.68,A
3.98,5.41,B
4.11,4.09,A
3.62,4.19,B
3.24,4.74,B
4.96,3.07,A
4.73,4.39,B
5.37,4.81,B
4.32,3.78,A
4.39,5.6,B
3.65,2.8,A
3.67,4.07,B
3.84,3.57,B
3.37,3.98,A
4.0,3.4,A
3.99,3.7,A
4.29,4.05,A
3.1,2.32,A
3.81,4.9,A
4.01,5.35,B
2.1,4.61,A
3.32,4.62,A
3.23,4.7,B
3.47,4.08,B
4.54,3.06,A
3.84,4.01,A
4.63,5.23,B
4.14,5.79,B
4.2,2.84,A
3.7,5.35,B
4.06,3.52,A
2.38,4.57,B
3.14,2.92,A
2.32,3.8,A
