age,income,recency,frequency,monetary,purchased
56,600,120,4,36,0
34,300,200,3,9,0
58,650,80,3,27,1
50,450,40,0,0,0
28,400,200,6,12,0
32,400,120,7,21,0
34,400,40,3,15,0
34,450,40,8,32,1
50,600,50,0,0,1
42,600,50,1,9,1
42,350,150,5,35,0
54,400,80,5,15,1
24,550,30,0,0,1
46,650,10,8,40,1
34,300,10,7,28,1
46,700,200,3,15,0
60,350,50,7,35,1
36,350,10,6,12,1
44,400,120,5,15,0
44,550,100,1,4,0
42,400,200,1,7,0
62,350,180,0,0,0
52,550,40,5,35,1
44,700,10,0,0,1
30,650,180,2,10,0
50,300,60,2,8,0
52,800,80,2,20,1
40,700,180,5,50,0
48,350,70,2,10,0
28,400,80,5,10,1
46,800,100,8,56,0
46,550,180,0,0,0
34,600,50,4,32,1
40,600,100,4,12,0
40,600,100,5,45,0
52,400,70,5,30,1
34,800,100,2,14,0
50,350,80,4,16,1
42,650,200,8,56,0
60,400,10,3,6,0
